Categoria;Denominazione;Indirizzo;Città;Localita;Indirizzo internet;Indirizzo di posta elettronica
OSTELLI PER LA GIOVENTU';OSTELLO PER LA GIOVENTU';via dell' Abbazia 40;BORGO PACE;LAMOLI;;lamoli@oasisanbenedetto.it
ALLOGGI AGRITURISTICI;AGRITURISMO IL GINEPRO;localita' Figgiano 46;BORGO PACE;BORGO PACE;;info@ilgineprofigiano.com
ALLOGGI AGRITURISTICI;AGRITURISMO SACCHIA ART FARM;;BORGO PACE;loc. Sacchia;www.sacchiafarm.com;info@sacchiafarm.com
ALTRI ALLOGGI PRIVATI;PAOLO CANGINI;loc. Acquaviva 25;CAGLI;;;
ALTRI ALLOGGI PRIVATI;PAVONI LUCIO;via Don Minzoni, 66 66/a;CAGLI;;;lucia.pavoni.18@gmail.com
ALTRI ALLOGGI PRIVATI;GIUNTI FRANCESCO;via Case Sparse 85;CAGLI;loc. Naro;;
BED & BREAKFAST;B&B VILLA ADA;via B.Buozzi 37;CAGLI;;http://villaadacagli.tumblr.com/;villaadacagli@gmail.com
TURISMO RURALE;COUNTRY HOUSE IL GIORDANO,SASSO DELLA ROCCA;via Centro Pieia 16,45;CAGLI;"Centro Pieia 16; Centro Pieia 45";www.pieiavacanze.it;info@pieiavacanze.it
BED & BREAKFAST;B&B LA VILLA DEGLI ORTI;via Flaminia Nord 153;CAGLI;;;m.tassi@libero.it
ALLOGGI AGRITURISTICI;L'ONCIA;;CAGLI;loc. Ca' Serra;;zio.mele@libero.it
TURISMO RURALE;VILLA DEGLI ORTI;via Flaminia Nord  153;CAGLI;;;info@ortiamo.it
ALLOGGI IN AFFITTO;LA PIAZZA;p.zza Matteotti 6;CAGLI;;www.casavacanzelapiazza.it;info@casavacanzelapiazza.it
BED & BREAKFAST;B&B MORETTI GIUSEPPE;via Pian del Vescovo 16;CAGLI;;;giusep.moretti@gmail.com
BED & BREAKFAST;B&B LOCANDA DEGLI ANGELI;CASE SPARSE 143;CAGLI;FRAZ. ABBADIA DI NARO;;locandadegliangelidirita@gmail.com
ALTRI ALLOGGI PRIVATI;WOERNLE BETTINA;;CAGLI;;;mail@bewoernle.de
ALTRI ALLOGGI PRIVATI;RADI MILENA;Via Faeto 7;CAGLI;FRONTONE;;milenaradi7@gmail.com
ALTRI ALLOGGI PRIVATI;CASA MARIAA;Vicolo Pino 9;CAGLI;CAGLI;www.casamariaa.it;contact@casamariaa.it
ALLOGGI AGRITURISTICI;DE RERUM NATURA;Località Fornaci di Paravento  123;CAGLI;CAGLI;www.coopdererumnatura.it;cesare@ilpostodelleviole.it
ALLOGGI AGRITURISTICI;IL POSTO DELLE VIOLE;Località Fornaci di Paravento 123;CAGLI;CAGLI;www.ilpostodelleviole.it;cesare@ilpostodelleviole.it
ALTRI ALLOGGI PRIVATI;RICCI MARCO;Frazione San Savino - Strada Provinciale 424 SNC;CAGLI;SAN SAVINO;;casalecanneto@libero.it
ALLOGGI IN AFFITTO;RELAIS DRUDA;Atanagi 37;CAGLI;CAGLI;;
ALLOGGI AGRITURISTICI;AZIENDA AGRITURISTICA F.LLI FULVI;strada Ca' Rio 1;CAGLI;CAGLI;;
ALLOGGI AGRITURISTICI;CA' BELVEDERE;strada pigno monte martello 103;CAGLI;CAGLI;www.cabelvedere.it;info@cabelvedere.it
ALLOGGI AGRITURISTICI;AGRITURISMO FRESCINA;localita' Frescina Abbadia di Naro  1;CAGLI;CAGLI;www.frescina.com;info@frescina.com
ALLOGGI AGRITURISTICI;CA' LE SUORE;strada Monte Peruzzo 57;CAGLI;CAGLI;www.calesuore.it;info@calesuore.it
ALLOGGI AGRITURISTICI;SAN SILVESTRO;localita' Monte Scatto 1;CAGLI;CAGLI;;info@agriturismo-sansilvestro.it
ALLOGGI AGRITURISTICI;AGRITURISMO CHE CELLO;strada Sant' Angelo in Maiano 5;CAGLI;CAGLI;;maddalena.scotti@virgilio.it
ALLOGGI IN AFFITTO;CAPOCCIA LUIGINA;strada Monte Petrano 1;CAGLI;CAGLI;;
BED & BREAKFAST;B&B GIANPAOLO LUCHINI;localita' Secchiano strada Cagli Pianello 123;CAGLI;CAGLI;;
ALLOGGI AGRITURISTICI;LA FERRAIA;strada Casale 10;CAGLI;CAGLI;www.laferraia.it;info@laferraia.it
RESIDENZE TURISTICO ALBERGHIERE;LA COLLINETTA;via ca' lupo 27;CAGLI;CAGLI;;info@residencelacollinetta.com
ALBERGHI;HOTEL PINETA;viale della Vittoria 15;CAGLI;CAGLI;;info@hpineta.com
ALBERGHI;INTERNATIONAL CAGLI HOTEL SRL;strada Civita  5;CAGLI;CAGLI;;info@internationalcaglihotel.it
RESIDENZE TURISTICO ALBERGHIERE;BORGO FRESCINA;ABBADIA DI NARO 118;CAGLI;FRESCINA - CAGLI;www.frescina.com;info@frescina.com
TURISMO RURALE;VILLA FONTALBA;via flaminia nord 123;CAGLI;CAGLI;www.villafontalba.it;villafontalba@gmail.com
TURISMO RURALE;LE RIPE DI BELIGNI IVO;;CAGLI;fraz. Cà Rio;;
ALLOGGI AGRITURISTICI;RANCO DI SOPRA;strada caimarini 79;CAGLI;CAGLI;www.rancodisopra.it;info@rancodisopra.it
ALLOGGI AGRITURISTICI;LA COLTICCIOLA DI CANCELLIERI AUGUSTO;strada cagli pergola 120;CAGLI;CAGLI;aziendaagrituristicacancellieri.com;cancellieri75@virgilio.it
ALLOGGI IN AFFITTO;BONCLERICI HOUSE;via tiranni 23;CAGLI;CAGLI;www.bonclericihouse.it;info@bonclericihouse.it
BED & BREAKFAST;B&B PALADINI ROBERTO;via Bencivenne Paganucci 23;CAGLI;CAGLI;;robertopaladini56@gmail.com
ALLOGGI IN AFFITTO;LA CONTESA di BERTOZZI MAFALDA;loc. Acquaviva 126;CAGLI;ACQUAVIVA;www.lacontesa.it;info@lacontesa.it
BED & BREAKFAST;B&B SAN PIETRO FUORI LE MURA;via san pietro 14;CAGLI;CAGLI;;mhlpieri@gmail.com
BED & BREAKFAST;B&B TORRE D'ACQUAVIVA;via Molleone 5;CAGLI;;www.torreacquaviva.it;amichelinitocci@yahoo.it
ALLOGGI AGRITURISTICI;AGRITURISMO COLLE DELLE GINESTRELLE DI CAPOCCIA CARLO;via Flaminia Nord 23;CAGLI;;www.agriturcagli.it;info@agriturcagli.it
BED & BREAKFAST;B&B MONSERCHIO;PIGNO MONTE MARTELLO  52;CAGLI;;;k.strian@esaway.it
ALLOGGI AGRITURISTICI;LA TENUTA CA' GIONE DI NUCCI VALERIO E GIANMARCO;STRADA SAN MARTINO CASTELL'ONESTO, 41 41;CAGLI;STRADA SAN MARTINO;www.tenutacagione.it;info@tenutacagione.it
ALLOGGI AGRITURISTICI;VELLANETA;strada pigno monte martello 82;CAGLI;CAGLI;www.vellaneta.com;agriturismo.vellaneta@esaway.it
ALLOGGI IN AFFITTO;LE STANZE DI CLOTILDE;via purgotti 64-66;CAGLI;CAGLI;;info@bonclericihouse.it
BED & BREAKFAST;B&B CA' MAGGIO NUOVO;strada monte peruzzo 63;CAGLI;CAGLI;www.camaggio.com;info@camaggio.com
ALLOGGI AGRITURISTICI;AGRITURISMO MOLLEONE;strada molleone 1;CAGLI;CAGLI;;
ALLOGGI AGRITURISTICI;AGRITURISMO BUFANO;strada san fiorano 48;CAGLI;CAGLI;www.agriturismobufano.it;info@agriturismobufano.it
TURISMO RURALE;COUNTRY HOUSE CA' BUCARINI;case sparse naro 3;CAGLI;CAGLI;;bucarinilucia@gmail.com
BED & BREAKFAST;B&B DEL TEATRO;via Giacomo Leopardi 28;CAGLI;CAGLI;www.bbdelteatro.it;info@bbdelteatro.it
BED & BREAKFAST;B&B LA ROSA ROSSA;via del burano 1;CAGLI;CAGLI;;teresin@live.it
ALLOGGI AGRITURISTICI;RAGGIO DI SOLE;localita' acquaviva 1;CAGLI;CAGLI;;
ALLOGGI AGRITURISTICI;AGRITURISMO CAMPAGNA;strada pigno monte martello 1;CAGLI;CAGLI;;
ALLOGGI IN AFFITTO;CA' MAGGIO NUOVO;strada monte peruzzo 63;CAGLI;CAGLI;www.camaggio.com;info@camaggio.com
TURISMO RURALE;FONTE DELL'OLMO;strada monte peruzzo 1;CAGLI;CAGLI;;purgotti2@virgilio.it
ALLOGGI IN AFFITTO;RESIDENCE TORRE DEL SASSO;localita' via stratta 1;CAGLI;CAGLI;;
ALLOGGI AGRITURISTICI;AGRITURISMO IL BORGHETTO AL POGGIO;;CAGLI;loc. Poggio San Cristoforo;www.ilborghettoalpoggio.it;info@ilborghettoalpoggio.it
ALLOGGI IN AFFITTO;GREENE PETER ANDREW;Strada Santa Barbara 5;CAGLI;CAGLI;www.sancristoforo.info;mail@le-marche.com
BED & BREAKFAST;B&B VIABENAMATI;via Benamati 13;CAGLI;;;viabenamati@virgilio.it
ALLOGGI AGRITURISTICI;AGRITURISMO CA' BATTISTA;strada Valubbio 29;CAGLI;;;cabattista@hotmail.it
ALTRI ALLOGGI PRIVATI;CIANCAMERLA ROBERTA;Strada San Martino Castell'onesto  27/a;CAGLI;smirra di cagli;www.castellonesto.com;info@castellonesto.com
ALTRI ALLOGGI PRIVATI;PIO BRACCO;San Paterniano 36;CAGLI;SMIRRA;www.lamaestade.it;"explorer@teletu.it ; piobracco@alice.it"
ALTRI ALLOGGI PRIVATI;PACINI MARIA GABRIELLA;LOCALITA' PARAVENTO 84;CAGLI;LOCALITA' PARAVENTO;;lincantosullavalle@gmail.com
ALTRI ALLOGGI PRIVATI;MAGGIOLI GIUSEPPE E SERAFINI DORIANA;;CAGLI;;;info@dream-holidays.it
ALLOGGI AGRITURISTICI;AGRITURISMO SERRA CANINA;loc.Serra Canina snc;CAGLI;;www.calesuore.it;info@calesuore.it
ALTRI ALLOGGI PRIVATI;AMADUZZI GIOVANNA;;CAGLI;località Le Pieie Tarugo;www.cadeinoci.com;bonazelli6@libero.it
ALLOGGI AGRITURISTICI;ACQUABATTIGLIA;via fossato 5;CANTIANO;ACQUABATTAGLIA;www.acquabattaglia.com;picorri@gmail.com
ALTRI ALLOGGI PRIVATI;VILLA ANTICA;via Finocchieto 60;CANTIANO;località Fossato;http://www.villaantica.eu/;ddgiamb@alice.it
BED & BREAKFAST;B&B CA' PARAVENTO;via della fornace 73;CANTIANO;TRANQUILLO;www.caparavento.it;info@caparavento.it
TURISMO RURALE;CA' PARAVENTO COUNTRY HOUSE;via della fornace 73;CANTIANO;TRANQUILLO;www.caparavento.it;info@caparavento.it
ALLOGGI AGRITURISTICI;COL D'AGELLO;localita' san rocco 1;CANTIANO;CANTIANO;;
ALBERGHI;LA LOCANDA DEL BROLIO;via G. Mazzini 8;CANTIANO;CANTIANO;www.locandadelbrolio.it;info@locandadelbrolio.it
OSTELLI PER LA GIOVENTU';OSTELLO SAN GIOVANNI BATTISTA;via del mercato 4;CANTIANO;CANTIANO;www.lamacina.it;valerio@lamacina.it
ALBERGHI;ALBERGO I CORDELLI;via Cordelli 38;CANTIANO;frazione Chiaserna;;valerio@lamacina.it
TURISMO RURALE;SANT'APOLLINARE FARMHOUSE RESORT;Località Sant'Apollinare via San Crecentino  5;CANTIANO;SANT'APOLLINARE;www.farmhouseresort.it;marcoramberti@gmail.com
BED & BREAKFAST;B&B LUCHETTI DANILA;via della Badia 2;CANTIANO;;;studioquattro@studioquattromail.it
CAMPEGGI;CAMPING LE GINESTRE DEL CATRIA;Via Fossato snc;CANTIANO;loc. Chiaserna;www.camping-leginestredelcatria.it;info@camping-leginestredelcatria.it
BED & BREAKFAST;B&B LOVE SUITE NIDO D'AMORE;loc. Cantoniera 12;CARPEGNA;;www.lovesuites.it;riccibr1@virgilio.it
ALLOGGI IN AFFITTO;RESIDENCE HOTEL SAN MICHELE;via Amaducci 51;CARPEGNA;Carpegna;www.hotelsmichele.com;info@euromtour.it
ALBERGHI;HOTEL SAN MICHELE;via Amaducci 51;CARPEGNA;CARPEGNA;;info@euromtour.it
CAMPEGGI;PARADISO;viale Paradiso 36;CARPEGNA;CARPEGNA;www.campeggioparadisocarpegna.com;info@campeggioparadiso.com
ALLOGGI IN AFFITTO;RESIDENCE LE TERRAZZE di FILIPPETTI  GIULIANA;via Cippo 38;CARPEGNA;CARPEGNA;www.leterrazzecarpegna.it;info@leterrazzecarpegna.it
ALLOGGI IN AFFITTO;IL MANDRIANO;via Cantoniera 76;CARPEGNA;CARPEGNA;;as_studio@libero.it
ALBERGHI;HOTEL ANNA;vicolo Francioni 4;CARPEGNA;CARPEGNA;www.hotelannacarpegna.it;info@hotelannacarpegna.it
ALBERGHI;ULISSE;via Amaducci, 16 16;CARPEGNA;CARPEGNA;www.hotelulisse.it;info@hotelulisse.it
ALLOGGI AGRITURISTICI;AZIENDA AGRITURISTICA LE VILLE;via le Ville 1;CARPEGNA;loc. le Ville di Carpegna;www.levilleagriturismo.it;info@levilleagriturismo.it
ALTRI ALLOGGI PRIVATI;LAURA GIOVAGNOLI;viale Paradiso 36;CARPEGNA;CARPEGNA;;info@campeggioparadiso.com
ALTRI ALLOGGI PRIVATI;DAVIDE ROSATI;viale paradiso 36;CARPEGNA;CARPEGNA;;info@campeggioparadiso.com
ALTRI ALLOGGI PRIVATI;ROSATI FEDERICO;Viale Paradiso 36;CARPEGNA;CARPEGNA;;info@campeggioparadiso.com
BED & BREAKFAST;B&B IL BUGHETTO;via Poggiale 16;CARPEGNA;CARPEGNA;www.ilbughetto.it;info@ilbughetto.it
OSTELLI PER LA GIOVENTU';OSTELLO DELLA GIOVENTU';via Rio Maggio 1;CARPEGNA;CARPEGNA;;
ALBERGHI;HOTEL IL POGGIO;via Poggio 22;CARPEGNA;CARPEGNA;www.hotelilpoggio.it;info@hotelilpoggio.it
AREE DI SOSTA (PLEIN AIR);AREA DI SOSTA CAMPER;;CARPEGNA;;;
BED & BREAKFAST;B&B LA PACE;via Bottegno  1;CARPEGNA;Campo c/o Belforte all'Isauro;www.la-pace.it;info@la-pace.it
ALTRI ALLOGGI PRIVATI;IL MONTE;via Montepartemio 10;CARTOCETO;;www.casapartemio.it;casapartemio@gmail.com
BED & BREAKFAST;B&B TRE CIVETTE SUL COMO';via S. Bernardino 12;CARTOCETO;;;didi.adri@libero.it
TURISMO RURALE;LOCANDA BORGOGNINA;via Borgognina 31;CARTOCETO;;www.locandaborgognina.it;locandaborgognina@libero.it
ALLOGGI AGRITURISTICI;LA ROSA;via Morola 21;CARTOCETO;CARTOCETO;www.agriturismolarosacartoceto.it;info@agriturismolarosacartoceto.it
BED & BREAKFAST;B&B BORGHI DELLA ROCCA;via Giacomo Rossini 4;CARTOCETO;CARTOCETO;www.borghidellarocca.it;info@borghidellarocca.it
ALLOGGI IN AFFITTO;AGLI ULIVI DI RIPALTA;via piana 10;CARTOCETO;CARTOCETO;;info@affittacamereripalta.it
BED & BREAKFAST;CASA MONTEFIORE;via montefiore 3;CARTOCETO;CARTOCETO;www.casamontefiore.it;catia.capodagli@libero.it
BED & BREAKFAST;B&B RIVA DEGLI OLIVI;VIA BOTTACCIO 14;CARTOCETO;;;rivadegliolivi@gmail.com
BED & BREAKFAST;B&B AILANTO;via D.Berloni  3;CARTOCETO;CARTOCETO;www.ailanto-beb.com;emiliano.eusepi@hotmail.com
ALLOGGI AGRITURISTICI;CASALE TALEVI;ALBERONE 5;CARTOCETO;;www.casaletalevi.it;info@casaletalevi.it
ALLOGGI AGRITURISTICI;AGRITURISMO LA LOCANDA DEL GELSO;via morola 12;CARTOCETO;CARTOCETO;www.lalocandadelgelso.it;info@lalocandadelgelso.it
