POGGIO SAN VICINO;;114,00 €
POLLENZA;;39,00 €
PORTO RECANATI;;69,00 €
POTENZA PICENA;;106,00 €
RECANATI;;93,00 €
RIPE SAN GINESIO;;46,00 €
SAN GINESIO;;103,00 €
SAN SEVERINO MARCHE;;115,00 €
SANT'ANGELO IN PONTANO;;104,00 €
SARNANO;;78,00 €
SEFRO;;69,00 €
SERRAPETRONA;;62,00 €
SERRAVALLE DI CHIENTI;;64,00 €
TOLENTINO;;66,00 €
TREIA;;63,00 €
URBISAGLIA;;38,00 €
USSITA;;75,00 €
VISSO;;36,00 €
ACQUASANTA TERME;;98,00 €
ACQUAVIVA PICENA;;61,00 €
APPIGNANO DEL TRONTO;;86,00 €
ARQUATA DEL TRONTO;;31,00 €
ASCOLI PICENO;;100,00 €
CARASSAI;;31,00 €
CASTEL DI LAMA;;94,00 €
CASTIGNANO;;45,00 €
CASTORANO;;96,00 €
COLLI DEL TRONTO;;104,00 €
COMUNANZA;;65,00 €
COSSIGNANO;;90,00 €
CUPRA MARITTIMA;;102,00 €
FOLIGNANO;;80,00 €
FORCE;;56,00 €
GROTTAMMARE;;87,00 €
MALTIGNANO;;87,00 €
MASSIGNANO;;79,00 €
MONSAMPOLO DEL TRONTO;;76,00 €
MONTALTO DELLE MARCHE;;67,00 €
MONTEDINOVE;;119,00 €
MONTEFIORE DELL'ASO;;82,00 €
MONTEGALLO;;101,00 €
MONTEMONACO;;92,00 €
MONTEPRANDONE;;52,00 €
OFFIDA;;54,00 €
PALMIANO;;44,00 €
RIPATRANSONE;;34,00 €
ROCCAFLUVIONE;;111,00 €
ROTELLA;;74,00 €
SAN BENEDETTO DEL TRONTO;;85,00 €
SPINETOLI;;33,00 €
VENAROTTA;;110,00 €
ALTIDONA;;71,00 €
AMANDOLA;;84,00 €
BELMONTE PICENO;;75,00 €
CAMPOFILONE;;109,00 €
FALERONE;;95,00 €
FERMO;;42,00 €
FRANCAVILLA D'ETE;;106,00 €
GROTTAZZOLINA;;51,00 €
LAPEDONA;;108,00 €
MAGLIANO DI TENNA;;47,00 €
MASSA FERMANA;;111,00 €
MONSAMPIETRO MORICO;;113,00 €
MONTAPPONE;;81,00 €
MONTEFALCONE APPENNINO;;57,00 €
MONTEFORTINO;;33,00 €
MONTE GIBERTO;;62,00 €
MONTEGIORGIO;;82,00 €
MONTEGRANARO;;94,00 €
MONTELEONE DI FERMO;;109,00 €
MONTELPARO;;112,00 €
MONTE RINALDO;;113,00 €
MONTERUBBIANO;;78,00 €
MONTE SAN PIETRANGELI;;114,00 €
MONTE URANO;;43,00 €
MONTE VIDON COMBATTE;;80,00 €
MONTE VIDON CORRADO;;93,00 €
MONTOTTONE;;101,00 €
MORESCO;;68,00 €
ORTEZZANO;;53,00 €
PEDASO;;64,00 €
PETRITOLI;;90,00 €
PONZANO DI FERMO;;105,00 €
PORTO SAN GIORGIO;;70,00 €
PORTO SANT'ELPIDIO;;74,00 €
RAPAGNANO;;110,00 €
SANTA VITTORIA IN MATENANO;;112,00 €
SANT'ELPIDIO A MARE;;54,00 €
SERVIGLIANO;;83,00 €
SMERILLO;;113,00 €
TORRE SAN PATRIZIO;;50,00 €
